order_number,date,price,quantity,product_id,SKU
6351,22/08/2024,149.00,1,7492991582282,BON-418-U
6351,22/08/2024,349.95,1,7588870127690,THE-470-P
6351,22/08/2024,329.00,1,6892867682378,LEG185
6351,22/08/2024,269.00,1,6892867813450,TOP189
6352,22/08/2024,329.00,1,7497519497290,LEG-441-G
6352,22/08/2024,269.00,1,7497520414794,TOP-443-M
6352,22/08/2024,269.00,1,7001211797578,top-sig-azu-m
6352,22/08/2024,269.00,1,7505104175178,SHO-450-G
6352,22/08/2024,269.00,1,7497520709706,SHO-444-G
6352,22/08/2024,329.00,1,7055529803850,leg-sig-azu-g
6353,22/08/2024,349.95,1,7588871995466,MOL-476-M
6353,22/08/2024,349.95,1,7588870619210,THE-472-M
6353,22/08/2024,149.00,1,7492991582282,BON-418-U
6353,22/08/2024,349.95,1,7588865704010,MOL-462-M
6353,22/08/2024,329.00,1,6945991655498,LEG263
6353,22/08/2024,269.00,1,6946026913866,TOP259
6353,22/08/2024,49.90,1,7237764284490,HEA-132-P
6353,22/08/2024,49.90,1,7254954901578,HEA-139-U
6354,22/08/2024,349.95,1,7588871995466,MOL-476-M
6354,22/08/2024,349.95,1,7588870619210,THE-472-M
6354,22/08/2024,149.00,1,7492991582282,BON-418-U
6354,22/08/2024,349.95,1,7588865704010,MOL-462-M
6354,22/08/2024,329.00,1,6945991655498,LEG263
6354,22/08/2024,269.00,1,6946026913866,TOP259
6354,22/08/2024,49.90,1,7237764284490,HEA-132-P
6354,22/08/2024,49.90,1,7254954901578,HEA-139-U
6355,22/08/2024,329.00,1,7459360309322,LEG-389-M
6355,22/08/2024,269.00,1,7459360440394,TOP-390-P
6356,22/08/2024,329.00,1,6687221907530,LEG-PUR-PRE-P
6357,23/08/2024,269.00,1,6687221841994,TOP-PUR-PRE-M
6357,23/08/2024,369.00,1,7338889445450,LEG-146-P
6358,23/08/2024,329.00,1,7254942744650,LEG-133-M
6358,23/08/2024,269.00,1,7254944448586,TOP-136-P
6358,23/08/2024,329.00,1,7396016685130,LEG-160-G
6358,23/08/2024,269.00,1,7396018683978,TOP-166-G
6358,23/08/2024,219.00,1,7420467019850,TAN-371-M
6359,23/08/2024,259.00,1,7588862951498,POL-461-P
6359,23/08/2024,289.00,1,7588861083722,SKI-457-P
6360,23/08/2024,349.95,1,7588871700554,MOL-474-P
6361,23/08/2024,329.00,1,7497519497290,LEG-441-P
6361,23/08/2024,329.00,1,7497519300682,LEG-440-P
6362,23/08/2024,329.00,1,7378794774602,LEG-149-M
6362,23/08/2024,269.00,1,7378796511306,TOP-151-M
6363,24/08/2024,59.90,1,7223658512458,mei-clara-bran
6363,24/08/2024,49.90,1,7414746611786,GHO-171-M
6363,24/08/2024,289.00,1,7545717030986,SHO-453-G
6364,24/08/2024,329.00,1,7396016390218,LEG-157-P
6364,24/08/2024,269.00,1,7396018389066,TOP-165-P
6365,24/08/2024,269.00,1,7045786009674,sho-out-azul-p
6366,24/08/2024,329.00,1,6946026782794,LEG247
